Position	Company	Location	Type	Date_Online	Date_Change
IT Support & Business Consultant	KAPPA DATA	DE PINTE	Vaste Job	27 juli 2020	15 oktober 2020
BI & Data Architect	Attentia	GENT	Vaste Job	7 augustus 2020	12 januari 2021
Cloud architect data platform & data analytics	CEGEKA	ANTWERPEN	Vaste Job	15 mei 2020	3 juni 2020
Microsoft Azure DevOps Data Engineer	CEGEKA	HASSELT	Vaste Job	20 november 2020	20 november 2020
Data Architect	COLRUYT GROUP	HALLE	Vaste Job	14 april 2020	14 april 2020
Data Warehouse PostgreSQL Administrator	Smals	BRUSSEL	Vaste Job	27 maart 2020	28 januari 2021
Chapter lead Data Engineers	VIND! ICT	WAREGEM	Vaste Job	9 november 2020	9 november 2020
Data engineer / ETL developer	VIND! ICT	WAREGEM	Vaste Job	10 december 2020	10 december 2020
Senior Big Data Integration Engineer	COLRUYT GROUP	HALLE	Vaste Job	10 augustus 2020	13 augustus 2020
Data/BI Consultant	Tri ICT Belux	Regio Antwerpen	Vaste Job	9 augustus 2019	7 januari 2021
BI data analist	VIND! ICT	ZEEBRUGGE	Vaste Job	11 januari 2021	11 januari 2021
Data Scientist / AI Engineer	TRENDSKOUT	GENT	Vaste Job	2 december 2019	20 november 2020
Data analyst	VIND! ICT	WAREGEM	Vaste Job	29 december 2020	29 december 2020
Senior Data Management Professional with DevOps mindset	Van Genechten Packaging ( Imas NV )	TURNHOUT	Vaste Job	12 januari 2021	
Data Scientist Engineer - Artificial Intelligence	PLURALIT EUROPE	MECHELEN	Vaste Job	16 september 2020	28 januari 2021
Master data coördinator	SELECT HUMAN RESOURCES	KORTRIJK	Vaste Job	8 januari 2021	25 januari 2021
Masterdata	DPD (Belgium) NV/SA	MECHELEN	Vaste Job	19 januari 2021	19 januari 2021
Logical Data Modeler	COLRUYT GROUP	HALLE	Vaste Job	10 augustus 2020	13 augustus 2020
Power BI Data Engineer	TLCC	RUDDERVOORDE	Vaste Job	20 januari 2021	20 januari 2021
KU Leuven zoekt een data science engineer voor het HPC team	KATHOLIEKE UNIVERSITEIT TE LEUVEN	LEUVEN	Vaste Job	27 januari 2021	27 januari 2021
System Engineer Application Infrastructure Data	COLRUYT GROUP	HALLE	Vaste Job	15 oktober 2020	15 oktober 2020
Data Architect	Smals	BRUSSEL	Vaste Job	30 september 2020	28 januari 2021
Data steward	COLRUYT GROUP	HALLE	Vaste Job	13 november 2019	16 november 2020
Data Lake Analyst	COLRUYT GROUP	HALLE	Vaste Job	3 oktober 2019	3 oktober 2019
Datacenter manager - IT strategic leadership	VIND! ICT	WAREGEM	Vaste Job	3 januari 2021	3 januari 2021
Data Scientist Architect - Artificial Intelligence	PLURALIT EUROPE	MECHELEN	Vaste Job	30 september 2020	28 januari 2021
datawarehouse developer	GZA Ziekenhuizen	Regio Antwerpen	Vaste Job	16 december 2020	22 januari 2021
Data/webdesign programmeur	DSM INTERNATIONAL	DADIZELE	Vaste Job	16 januari 2021	16 januari 2021
Business/Functioneel/data analist	PRIVATUM	LUMMEN	Vaste Job	25 januari 2021	25 januari 2021
Project Master Data Management	Let's Work Roeselare	ARDOOIE	Interim met optie "vast werk"	15 december 2020	15 december 2020
Master Data beheerder	FORUM JOBS	KUURNE	Interim met optie "vast werk"	29 december 2020	29 december 2020
DATABEHEERDER TIJDELIJK	AGO OFFICE (Bedienden & Kaderleden)	WAREGEM	Interim met optie "vast werk"	15 januari 2021	15 januari 2021
Bachelor ICT data engineer	FORUM JOBS	GISTEL	Interim met optie "vast werk"	5 januari 2021	5 januari 2021
Medewerker Master Data	Trixxo jobs Aarschot	MELLE	Interim Job (uitsluitend voor uitzendkantoren)	5 december 2020	5 december 2020
Data expert	TALENTUS	WIELSBEKE	Interim met optie "vast werk"	20 januari 2021	20 januari 2021
Masterdata & Content Administrator	MANPOWER GEEL	HERENTALS	Interim met optie "vast werk"	11 december 2020	11 december 2020
Datatypist	ACCENT SELECT SERVICES	GENK	Interim met optie "vast werk"	21 januari 2021	27 januari 2021
Master Data Administrator	Robert Half	KORTRIJK	Interim met optie "vast werk"	5 januari 2021	5 januari 2021
Dataverwerker	ASAP OFFICE GENT	OOSTAKKER	Interim met optie "vast werk"	13 januari 2021	13 januari 2021
Vaccinatieproject COVID 19 - Data Cruncher - Expert Excel	Mutualités Libres Onafhankelijk Ziekenfonds	ANDERLECHT	Tijdelijke job (niet via uitzendkantoren)	15 januari 2021	15 januari 2021
Cybersecurity Specialist	Smals	BRUSSEL	Vaste Job	26 november 2020	26 november 2020
Database Administrator	Smals	BRUSSEL	Vaste Job	1 juli 2020	28 januari 2021
Configuration Manager/Administrator	COLRUYT GROUP	HALLE	Vaste Job	30 oktober 2020	30 oktober 2020
Database Administrator	DIGIPOLIS	ANTWERPEN	Vaste Job	19 januari 2021	19 januari 2021
CMDB Development Specialist	COLRUYT GROUP	HALLE	Vaste Job	15 mei 2020	12 oktober 2020
Database Administrator MySQL &#38; MS SQL Server	Smals	BRUSSEL	Vaste Job	1 augustus 2019	28 januari 2021
technical lead developer	GZA Ziekenhuizen	Regio Antwerpen	Vaste Job	9 november 2020	10 december 2020
Coördinator ICT - Systeem- en databasebeheer	UZ BRUSSEL	Brussel	Vaste Job	8 januari 2021	8 januari 2021
Ervaren system engineer	LGA IT	GENT	Vaste Job	6 januari 2021	6 januari 2021
System Engineer	WILLEMOT	GENT	Vaste Job	6 december 2020	6 december 2020
Oracle ETL Developer	Smals	SINT-GILLIS	Vaste Job	19 januari 2021	19 januari 2021
Dossier - en gegevensbeheerder	Departement Welzijn, Volksgezondheid en Gezin	BRUSSEL	Vaste Job	21 januari 2021	21 januari 2021
Application Specialist	LGA IT	LOKEREN	Vaste Job	27 januari 2021	27 januari 2021
Projectingenieur Industriële ICT	Pmc Process & Automation Solutions	TEMSE	Vaste Job	15 december 2020	15 december 2020
Back-end developer - nodeJS	MEETMATCH	ZWIJNDRECHT	Vaste Job	13 januari 2021	13 januari 2021
Administratief medewerker HR	Arcadius	NEDER-OVER-HEEMBEEK	Vaste Job	6 januari 2021	26 januari 2021
Fs .Net Dev. voor complexe fleet software|Marktleider	Austin Bright	BERCHEM	Vaste Job	20 januari 2021	20 januari 2021
Rechterhand IT Manager Lier	Robert Half	LIER	Vaste Job	27 januari 2021	27 januari 2021
Software Ontwikkelaar innovatief landmetersbedrijf	MEET HET	Regio Gent	Vaste Job	23 november 2020	23 november 2020
System Engineer gezocht voor 2021	First	MECHELEN	Vaste Job	16 maart 2020	13 januari 2021
Artificial Intelligence Expert	COLRUYT GROUP	HALLE	Vaste Job	29 december 2020	8 januari 2021
Innoverende full stack developer	VIND! ICT	IEPER	Vaste Job	4 december 2020	4 december 2020
Project Manager IT	ACCENT Jobs for People	ROESELARE	Vaste Job	5 januari 2021	5 januari 2021
Verantwoordelijke ICT	GEMEENTEBESTUUR HOEILAART	HOEILAART	Vaste Job	19 januari 2021	19 januari 2021
Senior System Engineer	DATAPLAN INFORMATICA	ZEDELGEM	Vaste Job	20 september 2018	22 januari 2021
Front-End Java Engineer	CORILUS	Regio Vilvoorde-Zaventem	Vaste Job	21 december 2020	21 december 2020
Projectcoördinator	SURVEY ANYPLACE	ANTWERPEN	Vaste Job	18 januari 2021	18 januari 2021
System/Network Engineer	LGA IT	GENT	Vaste Job	10 december 2020	10 december 2020
ETL specialisten (via Smals)	VDAB - ICT	BRUSSEL	Vaste Job	19 november 2018	18 januari 2021
Business Project Advisor	TVH PARTS HOLDING NV	WAREGEM	Vaste Job	21 oktober 2020	6 januari 2021
Technical Application Owner - tewerkstelling Brussel/Antwerpen	COZIE	Brussel	Vaste Job	29 september 2020	15 januari 2021
BI Analist-Specialist	Konvert Office	IEPER	Vaste Job	26 januari 2021	26 januari 2021
Gepassioneerde Lead IT Business Analist! (m/v)	PASSION WORKS!	DIEST	Vaste Job	17 december 2020	24 januari 2021
Innoverende analist - .NET software developer	VIND! ICT	IEPER	Vaste Job	17 november 2020	17 november 2020
JAVA EN OPEN SOURCE ONTWIKKELAAR KONTICH (Antwerpen)	Xplore Group	KONTICH	Vaste Job	12 januari 2021	
Interne IT Medewerker	VIND! ICT	GULLEGEM	Vaste Job	5 januari 2021	5 januari 2021
Junior Reporting Consultant	ITRONIC	MELLE	Vaste Job	21 mei 2019	17 juni 2019
Cybersecurity Analyst	COLRUYT GROUP	DEINZE	Vaste Job	9 juli 2020	27 oktober 2020
Medior Network & Security Engineer	Brunel	SCHAARBEEK	Vaste Job	1 december 2020	1 december 2020
IT Assistent Systemen	RAJAPACK	TONGEREN	Vaste Job	27 november 2020	27 januari 2021
SAP Business Process Engineer	Rock Recruitment	KORTRIJK	Vaste Job	15 december 2020	22 januari 2021
Security Engineer Digital Workplace	CEGEKA	HASSELT	Vaste Job	8 januari 2021	14 januari 2021
ADMINISTRATIEF BEDIENDE	MULTISERVICE BURO	Regio Gent	Vaste Job	24 september 2020	14 januari 2021
Medior Python ontwikkelaar	vind! Engineering Gent	KONTICH	Vaste Job	27 november 2020	27 november 2020
Test Engineer (vaste indiensttreding)	CRAX IT	ANTWERPEN	Vaste Job	5 augustus 2020	6 januari 2021
Senior ICT projectleider	SERTEC nv	HASSELT	Vaste Job	6 januari 2021	6 januari 2021
SAP Software Developer	KATHOLIEKE UNIVERSITEIT TE LEUVEN	LEUVEN	Vaste Job	19 januari 2021	19 januari 2021
Office Assistant Program Manager (Junior) (m/v/x)	METISELECT	Regio Leuven	Vaste Job	28 januari 2021	28 januari 2021
Java Developer	JUVO	OEVEL	Vaste Job	21 september 2020	14 januari 2021
Network Analyst	SELECT HR	LUMMEN	Vaste Job	26 januari 2021	26 januari 2021
Project Assistent	VanRoey.be	TURNHOUT	Vaste Job	25 januari 2021	25 januari 2021
Administratief bediende	LAMBRECHT NR 1 BANDEN	SINT-NIKLAAS	Vaste Job	26 juni 2020	6 januari 2021
IoT Solution Engineer	VINTECC	RUMBEKE	Vaste Job	4 januari 2021	4 januari 2021
