Term	Group
SYSTEEM	IOT
INGENIEUR	IOT
DOTNET	SOFTWARE
ARCHITECT	COMMON
ONTWIKKELAAR	SOFTWARE
CLOUD	SECURITY
WEB	SOFTWARE
PROJECT	COMMON
SOFTWARE	SOFTWARE
JAVA	SOFTWARE
APPLICATIE	SOFTWARE
FULLSTACK	SOFTWARE
STACK	SOFTWARE
INTEGRATIE	COMMON
ANALIST	DATA
ONTWERPER	COMMON
AZURE	SECURITY
CONSULTANT	COMMON
ANGULAR	SOFTWARE
KLANT	BUSINESS
SQL	COMMON
ICT	COMMON
BI	BUSINESS
FUNCTIONEEL	COMMON
PHP	SOFTWARE
PYTHON	DATA
BUSINESS	BUSINESS
COMMUNICATIE	COMMON
ARTIFICIEEL	DATA
INTELLIGENTIE	DATA
AUTOMATISATIE	IOT
TESTER	COMMON
DATA	DATA
BACKEND	COMMON
BIG	DATA
ADMINISTRATOR	COMMON
PROCES	COMMON
DATABANK	COMMON
LINUX	IOT
WAREHOUSE	COMMON
SAP	BUSINESS
NETWERK	IOT
VEILIGHEID	SECURITY
ANALYTICS	DATA
CYBER	SECURITY
MODELLEERDER	DATA
WETENSCHAP	DATA
ETL	BUSINESS
SERVER	IOT
FRONTEND	SOFTWARE
REMOTE	IOT
GAMING	IOT
INFRASTRUCTUUR	IOT
IOT	IOT
ORACLE	COMMON
